authorId,authorProfile,author,dateCreated,text
100039580073090,,Lamen Issa,2022-10-18T15:02:07.000Z,تم دعوته للحفل لان منزله في باريس فقط 🙂👍🏼
100086946999673,https://www.facebook.com/people/%D8%A7%D9%84%D8%A3%D8%B3%D8%B7%D9%88%D8%B1%D8%A9-%D9%83%D9%85%D9%81%D9%8A%D9%86%D8%BA%D8%A7/100086946999673/,الأسطورة كمفينغا,2022-10-18T11:14:04.000Z,"وهذا لا ينسينا ان الأسطورة كمال نينجا أفضل لعب في العالم

#متابعه"
100011550600782,https://www.facebook.com/people/Hicham-Sebgag/100011550600782/,Hicham Sebgag,2022-10-18T10:54:02.000Z,حقيقة لايمكنك محاربتها بالهاهاااااا
100053924208437,https://www.facebook.com/people/Med-Amine/100053924208437/,Med Amine,2022-10-18T11:43:31.000Z,"نظرا لعدم اهمية هذا المنشور سنتحدث عن نبتة اللفت 
من بين الخضراوت الغير قابلة للتطور في عالم الفلاحة 
لا يصلح عصيرا و لا معجونا و لا يطهى وغير قابل للقلي أو للشواء .
كانت هناك محاولات لتطويره من قبل اجدادنا الاوائل لكن المحاولات باءت بالفشل فهو لا يصلح إلا في التخليل فقط 
و صدق الفيلسوف حينما قال : ان لفت الانتباه  امر سهل و لكن اكل اللفت امر صعب للغاية .."
100063942391929,https://www.facebook.com/said.ounesse.9,شمس الدين الأيوبي,2022-10-18T14:32:05.000Z,لوكان يلعبو فالجزائر تلقى زيدان محلل في قناة الهداف و بنزيمة يصارع من اجل البقاء مع فريقه شلغوم العيد 🤣
100080478305548,https://www.facebook.com/people/%D8%A3%D9%81%D8%B6%D9%84-%D8%B5%D9%81%D8%AD%D8%A9-%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A9-%D9%81%D9%8A-%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE/100080478305548/,أفضل صفحة رياضية في تاريخ,2022-10-18T16:56:35.000Z,"هناك حقيقة واحدة لا يمكن تغييرها ب""هاهاها"" وهي أن ريال مدريد ملك أوروبا وسيدها الأول و الأخير 👌🏻👑
أطلب من كل مدريدي يحط قلب و يتابعنا و شكرا 🤍😌"
100026689193204,https://www.facebook.com/people/%C5%9A%C3%A4p%C5%97%C3%AB-%C3%84p%C4%BC%C3%B6%C5%9B/100026689193204/,Śäpŗë Äpļöś,2022-10-18T10:54:27.000Z,احلام مبابي و ليفاندوسكي و نيمار وصلاح تحت قدميها و اما احلام صامويل اومتيتي  تحت يديها اليمنى
100056113175582,https://www.facebook.com/beethoven.beethoven.940,Beethoven Beethoven,2022-10-18T11:22:56.000Z,تم دعوة للحفل لان منزلهم في باريس فقط😂😂😂
100022237970985,,ياسين باديس,2022-10-18T10:58:28.000Z,المهم اسماءهم عربية اسلامية و توحي بأنها جزائرية
100036988202088,https://www.facebook.com/people/%D8%B9%D9%84%D9%8A-%D8%B9%D8%A7%D8%AF%D9%84/100036988202088/,علي عادل,2022-10-18T10:53:47.000Z,مودريش يستحقها اكثر
