index,authorId,authorProfile,author,dateCreated,text
0,100003495772769,https://www.facebook.com/mohammed.e.rajawi,El Hajjioui Mohammed,2022-10-17T21:03:58.000Z,عليه الصلاة والسلام
0,100010118072581,https://www.facebook.com/hamouda.dahbi.3,Mohamed Dahbi Tahiri,2022-10-15T14:31:08.000Z,صلى الله عليه وسلم
0,100005039380408,https://www.facebook.com/aziz.farir,علي فرير,2022-10-14T09:33:35.000Z,عليه الصلاة والسلام
0,100023882182596,https://www.facebook.com/qobi.abdltif,Kobbi Abdltif,2022-10-14T17:57:58.000Z,عليه افضل الصلاة والسلام
0,100039542671488,https://www.facebook.com/fati.bilal.58118,Fati Bilal,2022-10-14T09:49:23.000Z,عليه أفضل الصلاة وأزكى السلام
0,100002019115454,,Aouichi EY,2022-10-14T10:36:43.000Z,صلى الله عليه وسلم
0,100000605995322,https://www.facebook.com/distefano.zn,Ahmed Mohamed Zn,2022-10-16T23:20:06.000Z,علي الصلات و السلام
0,100025504878842,https://www.facebook.com/abdelmajidbelhajelbouyouysfi,Abdelmajid Belhaj Elbouyousfi,2022-10-14T08:58:33.000Z,صلى الله عليه وسلم
0,100018892057202,,Nordin Zabairi,2022-10-14T12:11:17.000Z,اللهم صل وسلم على نبينا محمد وعلى آله وصحبه أجمعين
0,100013908671949,https://www.facebook.com/people/%D8%B7%D8%A7%D8%B1%D9%82-%D9%86%D8%A7%D8%AC%D9%8A%D8%B1/100013908671949/,طارق ناجير,2022-09-28T14:17:07.000Z,رحمه الله رحمة واسعة
0,100049305233541,https://www.facebook.com/khalid.qanini.1,Khalid Qanini,2022-09-28T16:59:06.000Z,"لمن لا يعرف الشيخ صار..
الشيخ صار = قنطرة صغيرة..
صراحة كان لاعب ممتع، من القلائل الذين جمعوا بين طول القامة والفنيات الكبيرة، وحتى مع دخوله كبديل في أغلب المباريات إلا انه كان لابد ان يترك بصمته بقنطرة صغيرة او تمريرة جميلة او هدف.
رحم الله الفقيد و اسكنه فسيح جناته. إنا لله وإنا إليه راجعون."
0,100057039294212,https://www.facebook.com/fatigranada.andalucia,Fati Granada Andalucia,2022-09-28T14:14:59.000Z,"توفي يوم الاثنين العلامة وشيخ الشيوخ والعلماء ومعلم الاجيال يوسف بن عبد الله القرضاوي وكانت مراسيم جنازته يوم الثلاثاء والغريب ان جل المواقع الإلكترونية  واايوتوبرزات لن يتكلموا على هذا الشيخ الجليل الذي افنى حياته مدافعا عن الإسلام والمسلمين وعن القضية الفلسطينية بالدرجة الاولى لو كان مغني او ممثل او لاعب كرة لقامت الدنيا وقعدت عليه
رحمك الله شيخنا الجليل وأعل درجتك واسكنك جوار النبيين والصديقين والشهداء والصالحين"
0,100007737963174,https://www.facebook.com/ab.de.1447,Ab De,2022-09-28T23:38:11.000Z,رحمه الله واسكنه فسيح جناته
0,100002536964565,https://www.facebook.com/nourddine.mouji.7,Nourddine Mouji,2022-09-28T14:59:01.000Z,اللهم ارحمه و اغفر له وتجاوز عن سيئاته و ارزق اهله الصبر والسلوان
0,100004763551811,https://www.facebook.com/laeila.jawhari,Laila Ait Bir,2022-09-29T08:01:07.000Z,لا حول و لا قوة إلا بالله العلي العظيم إنا لله وإنا إليه راجعون نسأل الله أن يغفر له ويرحمه ويجعله ممن رضي عنهم وتجاوز عن سيئاتهم واسكنهم فسيح جناته مع الصديقين والشهداء والصالحين وحسن أولئك رفيقا
0,100000697168683,https://www.facebook.com/gouyeme,Zidane Houcine,2022-09-28T14:36:38.000Z,"رحمه الله تعالى وجعله من اهل الفردوس وارزق اهله و كافة اصدقائه الصبر الجميل..
ورما رحمه الله هو الدي اقصى اتحاد الرشيدية امام الرجاء بهدف واحد في أخر دقائق المقابلة فى ربع نهاية كأس العرش دات بطولة.."
0,100038969553897,https://www.facebook.com/people/%D8%B1%D8%B6%D9%89-%D8%A7%D9%84%D9%84%D9%87-%D8%BA%D8%A7%D9%8A%D8%AA%D9%8A/100038969553897/,رضى الله غايتي,2022-09-28T16:10:45.000Z,إنا لله وإنا إليه راجعون، رحمه الله ورزقه الفردوس الأعلى وألهم أهله الصبر والسلوان ...
0,100001604289661,https://www.facebook.com/nouriddine.azizi,Nouriddine Azizi,2022-09-29T08:20:02.000Z,رحم الله الفقيد وجعله من أهل الجنة إن شاءالله
0,100000652028111,https://www.facebook.com/ghaz.mmed,Ghaz Mmed,2022-09-28T14:09:26.000Z,و اخيرا  فهمت اللغز الذي طالما بقي عالقا بذهني : لماذا الشيخ سار ؟ ولماذا الياس الخريسي ؟ رحمه الله و جميع موتى المسلمين .. و وفقك للخير .
0,100001144916082,https://www.facebook.com/BrahimBaidoun80,إبراهيم بيدون,2022-10-15T19:17:36.000Z,وفقكم الله لكل خير..
0,100030788268687,https://www.facebook.com/people/Hamza-El/100030788268687/,Hamza El,2022-10-18T20:04:54.000Z,الله
0,100007716552238,,أبو  عبد العظيم,2022-10-19T14:37:14.000Z,خويا إلياس  وش كاين شي زيت الزيتون
0,100021122858528,https://www.facebook.com/people/%D9%85%D8%AD%D9%85%D8%AF%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D9%86%D9%8A/100021122858528/,محمدالعربي السويني,2022-10-16T06:50:27.000Z,اللهم بارك لهم وارزقهم الاخلاص وإثبات يارب
0,100011557394136,https://www.facebook.com/rachid.ettoohri,Rachid Wins,2022-10-15T20:12:54.000Z,تحياتي خويا إلياس الإنسان الطيب وتحياتي لفريق عمل جمعية إحياء
0,100030788268687,https://www.facebook.com/people/Hamza-El/100030788268687/,Hamza El,2022-10-17T20:18:26.000Z,الله
0,100022235831644,https://www.facebook.com/people/%D8%A3%D9%86%D8%B3-%D8%A3%D8%A8%D9%88-%D8%B1%D8%B2%D8%A7%D9%86/100022235831644/,أنس أبو رزان,2022-10-15T19:26:16.000Z,سيسعدنا حضوركم معنا في إحدى اللقاءات انت وباقي الاخوة الافاضل بجمعية إحياء
0,100005383320447,https://www.facebook.com/hassan.himri.39,Abar Abid,2022-10-16T08:35:43.000Z,تم
0,100014305352763,https://www.facebook.com/khalidchhaima99,خالد شحيمة,2022-10-15T19:48:51.000Z,سيدي إلياس الحبيب صاحب القلب الكبير
0,100012407316856,https://www.facebook.com/people/%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D8%B1%D8%A4%D9%88%D9%81-%D8%A7%D9%84%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86%D9%8A/100012407316856/,عبد الرؤوف السليماني,2022-10-15T21:05:33.000Z,وفقكم الله
0,100081272303989,https://www.facebook.com/people/Amal-Amal/100081272303989/,Amal Amal,2022-08-20T18:29:27.000Z,جزاك الله خيرا
0,100033707201869,https://www.facebook.com/mohammedamine.barnousi.10,Mohammed Amine,2022-08-20T11:13:50.000Z,جزاك الله خيرا
